Author,Poem format,Naive Classifier Type,F-1 score
AntonGiacomoCorso,Split,Majority,0.48735813115240284
AntonGiacomoCorso,Whole,Majority,0.4880657934430553
BartolomeoZacco,Split,Majority,0.4989346285462933
BartolomeoZacco,Whole,Majority,0.49798223428125193
CelioMagno,Split,Majority,0.4875816993464052
CelioMagno,Whole,Majority,0.48509925619427613
DomenicoVenier,Split,Majority,0.4812525549832393
DomenicoVenier,Whole,Majority,0.4728820345900983
GiorgioGradenigo,Split,Majority,0.49722085075101763
GiorgioGradenigo,Whole,Majority,0.494720392459399
MaffioVenier,Split,Majority,0.4893615094886281
MaffioVenier,Whole,Majority,0.8329317269076305
MarcoStecchini,Split,Majority,0.4941935483870968
MarcoStecchini,Whole,Majority,0.665861508989955
MarcoVenier,Split,Majority,0.49722085075101763
MarcoVenier,Whole,Majority,0.494720392459399
MuzioManfredi,Split,Majority,0.4846623786799456
MuzioManfredi,Whole,Majority,0.47643087444286314
OrsattoGiustinian,Split,Majority,0.46545432466826014
OrsattoGiustinian,Whole,Majority,0.4401447269371797
Petrarca,Split,Majority,0.447887323943662
Petrarca,Whole,Majority,0.4235397906876854
PietroBembo,Split,Majority,0.4819381248267201
PietroBembo,Whole,Majority,0.4901638816446119
UnknownAuthor,Split,Majority,0.4869109947643979
UnknownAuthor,Whole,Majority,0.49717122326962704
ValerioSali,Split,Majority,0.48913968564392296
ValerioSali,Whole,Majority,0.48123425771411066
VeronicaFranco,Split,Majority,0.44502098935105977
VeronicaFranco,Whole,Majority,0.4880657934430553
